Name,ABN,Address_streetblock,Address_locality,postcode,Email,Address For Service email,Charity Size,Who the charity helps,Date established,Last reported,Next report due,Financial Year End,States,Total_Income,TGI_Government Grants,TGI_Donations_and_Bequests,TGI_Goods_or_Services,TGI_Income_Investments,TGI_Other Revenues,Total_Expense,TE_Grants_and_Donations_in_Australia,TE_Grants_Donations_Outside_of_Australia,TE_Interest,TE_Employees,TE_Other
Mandurah Surf Lifesaving Club (Inc),11166136776,Po Box 3200,Mandurah,6210,mhslsc@mybeach.com.au,mhslsc@mybeach.com.au,Small,"Children - aged 6 to under 15,Families",1996,10 September 2018,31 October 2019,30-4月,WA," $143,742.00",50000,11935,0,0,81807," $127,121.00",0,0,0,9322,117799
Freshwater Surf Life Saving Club,15606956393,1 Kooloora Ave,Freshwater,2096,exo@freshwaterslsc.com,exo@freshwaterslsc.com,Medium,General community in Australia,1907,21 January 2020,30 September 2020,31-3月,NSW," $572,697.00",6734,11710,534915,7872,11466," $573,657.00",0,0,0,75516,498141
Kurrawa Surf Life Saving Club,36275406288,Lot 1 Old Burleigh Road,Broadbeach,4218,lifesaving@kurrawasurf.com.au,finance@kurrawasurf.com.au,Large,General community in Australia,1986,24 July 2019,30 September 2020,31-3月,QLD," $2,988,984.00",279209,2155920,0,0,553855," $3,050,842.00",0,0,460537,453273,2137032
Busselton Surf Life Saving Club,84771730359,Po Box 1897,Busselton,6280,admin@busseltonsurf.com,admin@busseltonsurf.com,Small,"Children - aged 6 to under 15,Families,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",2007,22 December 2019,31 December 2020,30-6月,WA," $129,750.00",15000,0,89696,0,25054," $92,338.00",0,0,0,700,91638
Austinmer Surf Lifesaving Club Incorporated,57984732704,125 Lawrence Hargrave Dr,Austinmer,2515,admin@austinmersurfclub.com.au,admin@austinmersurfclub.com.au,Medium,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Financially disadvantaged people,Gay, lesbian, bisexual, transgender or intersex persons,Males,Migrants, refugees or asylum seekers,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",1991,30 September 2019,30 September 2020,31-3月,NSW," $413,409.00",374971,0,38391,47,0," $449,892.00",0,0,0,0,449892
Albany Surf Life Saving Club,57657202934,13 Viscount Heights,Albany,6330,life@albanysurfclub.com.au,life@albanysurfclub.com.au,Small,General community in Australia,,21 September 2017,30 September 2019,31-3月,WA," $242,187.00",17000,14747,0,0,210440," $199,219.00",0,0,0,0,199219
Floreat Surf Lifesaving Club Inc,65092996799,3 West Coast Hwy,City Beach,6015,admin@floreatslsc.com,admin@floreatslsc.com,Medium,General community in Australia,1975,14 August 2019,31 October 2020,30-4月,WA," $260,952.00",29370,28026,198216,5340,0," $254,428.00",0,0,0,47646,206782
Maroochydore Surf Lifesaving Club Inc,11229540191,,,,lifesaving@maroochysurfclub.com.au,lifesaving@maroochysurfclub.com.au,Large,General community in Australia,1915,24 September 2019,31 October 2020,30-4月,QLD," $1,328,526.00",40382,476190,811954,0,0," $1,532,976.00",0,0,59961,357730,1115285
Cairns Surf Life Saving Club,73096592269,135 Williams Esp,Palm Cove,4879,surf.admin@cairnssurfclub.com.au,surf.admin@cairnssurfclub.com.au,Medium,"Families,General community in Australia",,26 March 2020,30 June 2021,31-12月,QLD," $324,170.00",38769,11546,273554,301,0," $302,057.00",0,0,0,48308,253749
Canberra Surf And Lake Club,95252260215,38 Kitchener St,Hughes,2605,gav.hunt74@gmail.com,gav.hunt74@gmail.com,Small,General community in Australia,2000,8 April 2020,31 December 2020,30-6月,ACT," $2,000.00",0,2000,0,0,0," $1,677.00",0,0,0,0,1677
Coledale Surf Life Saving Club,99892725133,677 Lawrence Hargrave Dr,Coledale,2515,darren@bizeebiz.com,darren@bizeebiz.com,Medium,General community in Australia,1924,19 January 2020,31 December 2020,30-6月,NSW," $351,927.00",0,5123,301933,6344,38527," $255,193.00",2795,0,0,0,252398
Ayr Surf Life Saving Club Inc,32462966053,11-13 Sandowns St,Alva,4807,ayrslsc@gmail.com,ayrslsc@gmail.com,Small,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Gay, lesbian, bisexual, transgender or intersex persons,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",,5 November 2018,31 October 2020,30-4月,QLD," $152,196.00",32181,100,30262,4516,85137," $175,586.00",10830,0,0,23017,141739
Apollo Bay Surf Life Saving Club Inc.,61579241354,50 Great Ocean Rd,Apollo Bay,3233,info@apollobayslsc.com.au,finance@apollobayslsc.com.au,Small,General community in Australia,1951,4 May 2020,31 October 2021,30-4月,VIC," $138,375.00",17000,22705,95995,2675,0," $129,879.00",17000,0,0,0,112879
Aldinga Bay Surf Lifesaving Club Inc.,62263545980,Norman Road,Aldinga Beach,5173,abslsc.treasurer@gmail.com,abslsc.treasurer@gmail.com,Medium,General community in Australia,1978,22 December 2018,31 October 2020,30-4月,SA," $258,796.00",31962,2553,138701,2024,83556," $234,383.00",0,0,0,58043,176340
Brighton Surf Lifesaving Club Inc,28628975864,147 The Esplande,Brighton,5048,ccj2@apicdata.com,ccj2@apicdata.com,Medium,General community in Australia,1951,21 September 2017,31 October 2019,30-4月,SA," $557,841.00",7805,38145,0,0,511891," $431,645.00",0,0,0,0,431645
Gunnamatta Surf Life Saving Club,43964186861,Gunnamatta Life Saving Club,Fingal,3939,info@gunnamattaslsc.com.au,info@gunnamattaslsc.com.au,Medium,General community in Australia,1965,10 August 2019,31 October 2020,30-4月,VIC," $381,799.00",306363,34340,40072,1024,0," $374,253.00",0,0,0,0,374253
Brunswick Surf Life Saving Club,95760856051,,,,admin@brunswickslsc.org,admin@brunswickslsc.org,Medium,General community in Australia,1949,28 September 2019,31 December 2020,30-6月,NSW," $530,601.00",29002,395116,91404,15079,0," $285,623.00",0,1061,0,0,284562
NARRABEEN BEACH SURF LIFESAVING CLUB INC,98899009259,Lions Park Ocean St,Narrabeen,2101,admin@narrabeach.org.au,admin@narrabeach.org.au,Small,General community in Australia,1969,25 July 2017,31 October 2019,30-4月,NSW," $168,354.00",20000,1929,0,0,146425," $212,125.00",20000,0,0,13000,179125
Batemans Bay Surf Life Saving Club Inc,55189205693,560 George Bass Dr,Surf Beach,2536,bbslsc.secretary@gmail.com,bbslsc.secretary@gmail.com,Small,General community in Australia,1992,18 September 2019,31 December 2020,30-6月,NSW," $46,522.00",16671,11028,13449,143,5231," $26,198.00",0,0,0,0,26198
